iter	Passed	Remaining
0	73	221355
1	147	221608
2	219	219185
3	291	218005
4	364	218141
5	437	218465
6	509	217898
7	579	216903
8	649	215940
9	720	215468
10	792	215351
11	864	215367
12	936	215066
13	1007	214807
14	1081	215211
15	1151	214789
16	1223	214753
17	1295	214611
18	1365	214212
19	1436	214066
20	1508	213938
21	1581	214033
22	1653	214040
23	1723	213761
24	1797	213844
25	1866	213526
26	1939	213506
27	2012	213609
28	2084	213582
29	2161	213992
30	2231	213727
31	2302	213591
32	2372	213280
33	2448	213582
34	2519	213456
35	2594	213581
36	2663	213259
37	2733	213076
38	2802	212812
39	2875	212812
40	2946	212664
41	3018	212566
42	3091	212579
43	3166	212761
44	3236	212526
45	3305	212275
46	3376	212145
47	3446	211971
48	3517	211864
49	3590	211866
50	3660	211668
51	3731	211540
52	3802	211424
53	3872	211247
54	3941	211035
55	4012	210940
56	4084	210877
57	4157	210878
58	4229	210818
59	4298	210622
60	4368	210480
61	4439	210360
62	4510	210277
63	4582	210218
64	4655	210193
65	4723	210002
66	4793	209847
67	4863	209681
68	4932	209534
69	5005	209524
70	5077	209454
71	5146	209303
72	5219	209282
73	5289	209139
74	5358	208985
75	5427	208829
76	5499	208753
77	5571	208709
78	5639	208510
79	5708	208360
80	5781	208361
81	5852	208265
82	5921	208109
83	5990	207966
84	6060	207827
85	6128	207662
86	6196	207473
87	6262	207237
88	6330	207046
89	6400	206948
90	6471	206871
91	6538	206671
92	6605	206468
93	6669	206174
94	6740	206122
95	6811	206044
96	6883	205995
97	6956	205985
98	7026	205912
99	7095	205783
100	7161	205569
101	7231	205472
102	7300	205345
103	7370	205236
104	7445	205270
105	7514	205151
106	7583	205043
107	7651	204898
108	7720	204776
109	7794	204769
110	7871	204867
111	7943	204829
112	8011	204690
113	8082	204608
114	8153	204555
115	8220	204369
116	8286	204179
117	8355	204069
118	8425	203986
119	8494	203856
120	8562	203741
121	8628	203556
122	8693	203344
123	8760	203177
124	8829	203075
125	8898	202971
126	8967	202868
127	9032	202660
128	9101	202567
129	9169	202441
130	9233	202225
131	9297	202017
132	9366	201909
133	9436	201828
134	9504	201700
135	9572	201588
136	9638	201421
137	9702	201228
138	9766	201017
139	9842	201069
140	9912	200982
141	9976	200795
142	10043	200664
143	10108	200480
144	10173	200313
145	10239	200165
146	10306	200038
147	10371	199855
148	10438	199730
149	10502	199547
150	10565	199344
151	10630	199177
152	10694	199000
153	10763	198919
154	10828	198758
155	10896	198657
156	10964	198553
157	11028	198373
158	11096	198266
159	11157	198044
160	11222	197883
161	11288	197765
162	11352	197585
163	11423	197540
164	11487	197383
165	11555	197270
166	11619	197112
167	11686	197007
168	11749	196825
169	11812	196641
170	11877	196503
171	11941	196336
172	12002	196139
173	12070	196039
174	12134	195891
175	12202	195795
176	12269	195692
177	12337	195601
178	12401	195448
179	12470	195365
180	12535	195232
181	12599	195083
182	12664	194951
183	12726	194768
184	12793	194665
185	12857	194514
186	12922	194386
187	12986	194240
188	13055	194170
189	13121	194064
190	13184	193900
191	13251	193806
192	13316	193668
193	13384	193588
194	13447	193436
195	13510	193278
196	13578	193205
197	13640	193031
198	13703	192885
199	13767	192738
200	13835	192660
201	13899	192528
202	13967	192448
203	14030	192306
204	14101	192268
205	14168	192172
206	14237	192101
207	14307	192046
208	14374	191954
209	14440	191858
210	14506	191751
211	14575	191684
212	14642	191594
213	14709	191503
214	14781	191473
215	14848	191374
216	14921	191370
217	14992	191324
218	15063	191282
219	15128	191169
220	15193	191057
221	15262	190988
222	15328	190884
223	15395	190799
224	15459	190671
225	15526	190574
226	15597	190532
227	15661	190409
228	15728	190318
229	15795	190229
230	15865	190183
231	15937	190150
232	16006	190088
233	16076	190038
234	16146	189979
235	16212	189880
236	16281	189815
237	16350	189748
238	16416	189645
239	16486	189591
240	16550	189474
241	16614	189352
242	16681	189259
243	16760	189316
244	16835	189315
245	16901	189214
246	16970	189146
247	17041	189109
248	17114	189082
249	17187	189061
250	17262	189063
251	17336	189054
252	17406	188997
253	17485	189031
254	17558	189013
255	17638	189059
256	17730	189244
257	17812	189312
258	17884	189270
259	17952	189196
260	18018	189090
261	18093	189080
262	18163	189027
263	18238	189022
264	18308	188956
265	18378	188902
266	18446	188819
267	18523	188826
268	18596	188804
269	18675	188833
270	18751	188832
271	18822	188775
272	18910	188898
273	19002	189052
274	19072	188993
275	19148	188990
276	19220	188947
277	19296	188934
278	19376	188972
279	19457	189010
280	19539	189066
281	19623	189140
282	19710	189233
283	19793	189288
284	19880	189389
285	19962	189438
286	20043	189470
287	20127	189534
288	20200	189493
289	20280	189517
290	20368	189615
291	20458	189733
292	20538	189757
293	20623	189821
294	20705	189860
295	20784	189873
296	20864	189888
297	20941	189875
298	21010	189800
299	21087	189790
300	21160	189740
301	21225	189624
302	21300	189598
303	21443	190172
304	21540	190336
305	21637	190498
306	21751	190804
307	21859	191061
308	21947	191131
309	22022	191102
310	22105	191129
311	22177	191068
312	22246	190979
313	22316	190897
314	22393	190881
315	22463	190796
316	22536	190741
317	22608	190675
318	22685	190658
319	22756	190587
320	22849	190698
321	22921	190633
322	22991	190553
323	23062	190479
324	23139	190458
325	23211	190393
326	23296	190435
327	23364	190338
328	23435	190260
329	23510	190220
330	23579	190134
331	23657	190111
332	23734	190086
333	23811	190066
334	23882	189990
335	23961	189978
336	24030	189892
337	24108	189869
338	24175	189766
339	24243	189672
340	24316	189613
341	24386	189533
342	24475	189597
343	24552	189566
344	24616	189436
345	24687	189367
346	24753	189252
347	24821	189159
348	24894	189094
349	24956	188953
350	25020	188833
351	25082	188688
352	25152	188605
353	25220	188509
354	25289	188424
355	25358	188337
356	25424	188227
357	25493	188136
358	25560	188038
359	25631	187967
360	25702	187893
361	25780	187871
362	25856	187835
363	25929	187776
364	26008	187760
365	26075	187655
366	26153	187635
367	26225	187567
368	26303	187545
369	26380	187514
370	26445	187399
371	26512	187297
372	26584	187232
373	26653	187143
374	26722	187056
375	26793	186981
376	26854	186839
377	26922	186749
378	26990	186656
379	27060	186577
380	27134	186524
381	27203	186437
382	27280	186403
383	27352	186337
384	27423	186268
385	27491	186174
386	27565	186121
387	27628	185994
388	27694	185887
389	27753	185735
390	27815	185599
391	27886	185531
392	27950	185410
393	28015	185303
394	28088	185241
395	28155	185143
396	28218	185018
397	28293	184973
398	28356	184850
399	28426	184771
400	28491	184665
401	28561	184584
402	28628	184485
403	28704	184446
404	28787	184451
405	28864	184419
406	28930	184319
407	28999	184231
408	29067	184140
409	29130	184017
410	29199	183932
411	29262	183816
412	29323	183678
413	29388	183569
414	29462	183520
415	29536	183465
416	29607	183395
417	29680	183338
418	29747	183241
419	29820	183181
420	29882	183055
421	29953	182983
422	30034	182977
423	30120	182996
424	30188	182905
425	30259	182833
426	30328	182749
427	30400	182685
